Components,Reconstruction Error
0,1.0000
1,0.9093
2,0.8480
3,0.7960
4,0.7477
5,0.7012
6,0.6566
7,0.6182
8,0.5845
9,0.5611
10,0.5422
11,0.5248
12,0.5097
13,0.4969
14,0.4848
15,0.4733
16,0.4622
17,0.4520
18,0.4429
19,0.4344
20,0.4272
21,0.4210
22,0.4149
23,0.4093
24,0.4042
25,0.3991
26,0.3947
27,0.3904
28,0.3863
29,0.3822
30,0.3784
31,0.3746
32,0.3709
33,0.3672
34,0.3637
35,0.3603
36,0.3570
37,0.3538
38,0.3507
39,0.3475
40,0.3445
41,0.3416
42,0.3387
43,0.3358
44,0.3330
45,0.3302
46,0.3274
47,0.3248
48,0.3223
49,0.3198
50,0.3173
51,0.3149
52,0.3124
53,0.3100
54,0.3076
55,0.3051
56,0.3028
57,0.3004
58,0.2982
59,0.2960
60,0.2938
61,0.2917
62,0.2897
63,0.2876
64,0.2856
65,0.2836
66,0.2816
67,0.2797
68,0.2777
69,0.2758
70,0.2739
71,0.2719
72,0.2701
73,0.2682
74,0.2664
75,0.2646
76,0.2628
77,0.2609
78,0.2592
79,0.2574
80,0.2557
81,0.2540
82,0.2522
83,0.2505
84,0.2488
85,0.2471
86,0.2454
87,0.2438
88,0.2421
89,0.2405
90,0.2388
91,0.2372
92,0.2355
93,0.2339
94,0.2323
95,0.2307
96,0.2291
97,0.2275
98,0.2259
99,0.2243
100,0.2227
101,0.2212
102,0.2196
103,0.2180
104,0.2165
105,0.2149
106,0.2134
107,0.2119
108,0.2104
109,0.2089
110,0.2073
111,0.2058
112,0.2043
113,0.2028
114,0.2013
115,0.1999
116,0.1984
117,0.1969
118,0.1955
119,0.1940
120,0.1925
121,0.1911
122,0.1896
123,0.1882
124,0.1867
125,0.1853
126,0.1839
127,0.1824
128,0.1810
129,0.1796
130,0.1782
131,0.1768
132,0.1753
133,0.1739
134,0.1725
135,0.1711
136,0.1697
137,0.1683
138,0.1669
139,0.1655
140,0.1641
141,0.1627
142,0.1613
143,0.1599
144,0.1586
145,0.1572
146,0.1558
147,0.1544
148,0.1531
149,0.1517
150,0.1504
151,0.1490
152,0.1477
153,0.1463
154,0.1450
155,0.1436
156,0.1423
157,0.1410
158,0.1397
159,0.1383
160,0.1370
161,0.1357
162,0.1344
163,0.1331
164,0.1318
165,0.1305
166,0.1292
167,0.1279
168,0.1266
169,0.1253
170,0.1240
171,0.1227
172,0.1215
173,0.1202
174,0.1189
175,0.1176
176,0.1164
177,0.1151
178,0.1138
179,0.1126
180,0.1113
181,0.1101
182,0.1088
183,0.1076
184,0.1064
185,0.1051
186,0.1039
187,0.1027
188,0.1014
189,0.1002
190,0.0990
191,0.0978
192,0.0966
193,0.0954
194,0.0942
195,0.0930
196,0.0918
197,0.0906
198,0.0894
199,0.0882
200,0.0870
201,0.0859
202,0.0847
203,0.0835
204,0.0824
205,0.0812
206,0.0801
207,0.0789
208,0.0777
209,0.0766
210,0.0755
211,0.0743
212,0.0732
213,0.0720
214,0.0709
215,0.0698
216,0.0687
217,0.0675
218,0.0664
219,0.0653
220,0.0642
221,0.0631
222,0.0620
223,0.0609
224,0.0598
225,0.0587
226,0.0577
227,0.0566
228,0.0555
229,0.0544
230,0.0533
231,0.0523
232,0.0512
233,0.0501
234,0.0491
235,0.0480
236,0.0469
237,0.0459
238,0.0448
239,0.0438
240,0.0427
241,0.0417
242,0.0407
243,0.0397
244,0.0386
245,0.0376
246,0.0366
247,0.0356
248,0.0346
249,0.0336
250,0.0326
251,0.0316
252,0.0306
253,0.0296
254,0.0286
255,0.0277
256,0.0267
257,0.0257
258,0.0247
259,0.0238
260,0.0228
261,0.0218
262,0.0209
263,0.0199
264,0.0189
265,0.0180
266,0.0170
267,0.0161
268,0.0152
269,0.0143
270,0.0134
271,0.0126
272,0.0117
273,0.0110
274,0.0103
275,0.0098
276,0.0092
277,0.0088
278,0.0084
279,0.0081
280,0.0078
281,0.0075
282,0.0072
283,0.0070
284,0.0068
285,0.0066
286,0.0064
287,0.0062
288,0.0060
289,0.0058
290,0.0057
291,0.0055
292,0.0054
293,0.0052
294,0.0051
295,0.0050
296,0.0049
297,0.0048
298,0.0048
299,0.0047
300,0.0046
301,0.0045
302,0.0045
303,0.0044
304,0.0043
305,0.0042
306,0.0042
307,0.0041
308,0.0041
309,0.0040
310,0.0039
311,0.0039
312,0.0038
313,0.0038
314,0.0037
315,0.0037
316,0.0036
317,0.0036
318,0.0035
319,0.0035
320,0.0034
321,0.0034
322,0.0033
323,0.0033
324,0.0033
325,0.0032
326,0.0032
327,0.0032
328,0.0031
329,0.0031
330,0.0031
331,0.0030
332,0.0030
333,0.0030
334,0.0029
335,0.0029
336,0.0029
337,0.0028
338,0.0028
339,0.0028
340,0.0028
341,0.0027
342,0.0027
343,0.0027
344,0.0027
345,0.0026
346,0.0026
347,0.0026
348,0.0026
349,0.0026
350,0.0025
351,0.0025
352,0.0025
353,0.0025
354,0.0024
355,0.0024
356,0.0024
357,0.0024
358,0.0024
359,0.0023
360,0.0023
361,0.0023
362,0.0023
363,0.0023
364,0.0023
365,0.0022
366,0.0022
367,0.0022
368,0.0022
369,0.0022
370,0.0021
371,0.0021
372,0.0021
373,0.0021
374,0.0021
375,0.0021
376,0.0020
377,0.0020
378,0.0020
379,0.0020
380,0.0020
381,0.0020
382,0.0019
383,0.0019
384,0.0019
385,0.0019
386,0.0019
387,0.0019
388,0.0019
389,0.0018
390,0.0018
391,0.0018
392,0.0018
393,0.0018
394,0.0018
395,0.0018
396,0.0018
397,0.0017
398,0.0017
399,0.0017
400,0.0017
401,0.0017
402,0.0017
403,0.0017
404,0.0017
405,0.0016
406,0.0016
407,0.0016
408,0.0016
409,0.0016
410,0.0016
411,0.0016
412,0.0016
413,0.0016
414,0.0015
415,0.0015
416,0.0015
417,0.0015
418,0.0015
419,0.0015
420,0.0015
421,0.0015
422,0.0015
423,0.0015
424,0.0014
425,0.0014
426,0.0014
427,0.0014
428,0.0014
429,0.0014
430,0.0014
431,0.0014
432,0.0014
433,0.0014
434,0.0014
435,0.0013
436,0.0013
437,0.0013
438,0.0013
439,0.0013
440,0.0013
441,0.0013
442,0.0013
443,0.0013
444,0.0013
445,0.0013
446,0.0013
447,0.0013
448,0.0013
449,0.0012
450,0.0012
451,0.0012
452,0.0012
453,0.0012
454,0.0012
455,0.0012
456,0.0012
457,0.0012
458,0.0012
459,0.0012
460,0.0012
461,0.0012
462,0.0012
463,0.0012
464,0.0011
465,0.0011
466,0.0011
467,0.0011
468,0.0011
469,0.0011
470,0.0011
471,0.0011
472,0.0011
473,0.0011
474,0.0011
475,0.0011
476,0.0011
477,0.0011
478,0.0011
479,0.0011
480,0.0011
481,0.0010
482,0.0010
483,0.0010
484,0.0010
485,0.0010
486,0.0010
487,0.0010
488,0.0010
489,0.0010
490,0.0010
491,0.0010
492,0.0010
493,0.0010
494,0.0010
495,0.0010
496,0.0010
497,0.0010
498,0.0010
499,0.0010
500,0.0009
501,0.0009
502,0.0009
503,0.0009
504,0.0009
505,0.0009
506,0.0009
507,0.0009
508,0.0009
509,0.0009
510,0.0009
511,0.0009
512,0.0009
513,0.0009
514,0.0009
515,0.0009
516,0.0009
517,0.0009
518,0.0009
519,0.0009
520,0.0009
521,0.0009
522,0.0008
523,0.0008
524,0.0008
525,0.0008
526,0.0008
527,0.0008
528,0.0008
529,0.0008
530,0.0008
531,0.0008
532,0.0008
533,0.0008
534,0.0008
535,0.0008
536,0.0008
537,0.0008
538,0.0008
539,0.0008
540,0.0008
541,0.0008
542,0.0008
543,0.0008
544,0.0008
545,0.0008
546,0.0008
547,0.0007
548,0.0007
549,0.0007
550,0.0007
551,0.0007
552,0.0007
553,0.0007
554,0.0007
555,0.0007
556,0.0007
557,0.0007
558,0.0007
559,0.0007
560,0.0007
561,0.0007
562,0.0007
563,0.0007
564,0.0007
565,0.0007
566,0.0007
567,0.0007
568,0.0007
569,0.0007
570,0.0007
571,0.0007
572,0.0007
573,0.0007
574,0.0006
575,0.0006
576,0.0006
577,0.0006
578,0.0006
579,0.0006
580,0.0006
581,0.0006
582,0.0006
583,0.0006
584,0.0006
585,0.0006
586,0.0006
587,0.0006
588,0.0006
589,0.0006
590,0.0006
591,0.0006
592,0.0006
593,0.0006
594,0.0006
595,0.0006
596,0.0006
597,0.0006
598,0.0006
599,0.0006
600,0.0006
601,0.0006
602,0.0006
603,0.0006
604,0.0006
605,0.0006
606,0.0005
607,0.0005
608,0.0005
609,0.0005
610,0.0005
611,0.0005
612,0.0005
613,0.0005
614,0.0005
615,0.0005
616,0.0005
617,0.0005
618,0.0005
619,0.0005
620,0.0005
621,0.0005
622,0.0005
623,0.0005
624,0.0005
625,0.0005
626,0.0005
627,0.0005
628,0.0005
629,0.0005
630,0.0005
631,0.0005
632,0.0005
633,0.0005
634,0.0005
635,0.0005
636,0.0005
637,0.0005
638,0.0005
639,0.0005
640,0.0005
641,0.0005
642,0.0005
643,0.0005
644,0.0005
645,0.0004
646,0.0004
647,0.0004
648,0.0004
649,0.0004
650,0.0004
651,0.0004
652,0.0004
653,0.0004
654,0.0004
655,0.0004
656,0.0004
657,0.0004
658,0.0004
659,0.0004
660,0.0004
661,0.0004
662,0.0004
663,0.0004
664,0.0004
665,0.0004
666,0.0004
667,0.0004
668,0.0004
669,0.0004
670,0.0004
671,0.0004
672,0.0004
673,0.0004
674,0.0004
675,0.0004
676,0.0004
677,0.0004
678,0.0004
679,0.0004
680,0.0004
681,0.0004
682,0.0004
683,0.0004
684,0.0004
685,0.0004
686,0.0004
687,0.0004
688,0.0004
689,0.0004
690,0.0004
691,0.0004
692,0.0004
693,0.0004
694,0.0004
695,0.0004
696,0.0004
697,0.0003
698,0.0003
699,0.0003
700,0.0003
701,0.0003
702,0.0003
703,0.0003
704,0.0003
705,0.0003
706,0.0003
707,0.0003
708,0.0003
709,0.0003
710,0.0003
711,0.0003
712,0.0003
713,0.0003
714,0.0003
715,0.0003
716,0.0003
717,0.0003
718,0.0003
719,0.0003
720,0.0003
721,0.0003
722,0.0003
723,0.0003
724,0.0003
725,0.0003
726,0.0003
727,0.0003
728,0.0003
729,0.0003
730,0.0003
731,0.0003
732,0.0003
733,0.0003
734,0.0003
735,0.0003
736,0.0003
737,0.0003
738,0.0003
739,0.0003
740,0.0003
741,0.0003
742,0.0003
743,0.0003
744,0.0003
745,0.0003
746,0.0003
747,0.0003
748,0.0003
749,0.0003
750,0.0003
751,0.0003
752,0.0003
753,0.0003
754,0.0003
755,0.0003
756,0.0003
757,0.0003
758,0.0003
759,0.0003
760,0.0003
761,0.0003
762,0.0003
763,0.0003
764,0.0002
765,0.0002
766,0.0002
767,0.0002
768,0.0002
769,0.0002
770,0.0002
771,0.0002
772,0.0002
773,0.0002
774,0.0002
775,0.0002
776,0.0002
777,0.0002
778,0.0002
779,0.0002
780,0.0002
781,0.0002
782,0.0002
783,0.0002
784,0.0002
785,0.0002
786,0.0002
787,0.0002
788,0.0002
789,0.0002
790,0.0002
791,0.0002
792,0.0002
793,0.0002
794,0.0002
795,0.0002
796,0.0002
797,0.0002
798,0.0002
799,0.0002
800,0.0002
801,0.0002
802,0.0002
803,0.0002
804,0.0002
805,0.0002
806,0.0002
807,0.0002
808,0.0002
809,0.0002
810,0.0002
811,0.0002
812,0.0002
813,0.0002
814,0.0002
815,0.0002
816,0.0002
817,0.0002
818,0.0002
819,0.0002
820,0.0002
821,0.0002
822,0.0002
823,0.0002
824,0.0002
825,0.0002
826,0.0002
827,0.0002
828,0.0002
829,0.0002
830,0.0002
831,0.0002
832,0.0002
833,0.0002
834,0.0002
835,0.0002
836,0.0002
837,0.0002
838,0.0002
839,0.0002
840,0.0002
841,0.0002
842,0.0002
843,0.0002
844,0.0002
845,0.0002
846,0.0002
847,0.0002
848,0.0002
849,0.0002
850,0.0002
851,0.0002
852,0.0002
853,0.0002
854,0.0002
855,0.0002
856,0.0002
857,0.0002
858,0.0002
859,0.0001
860,0.0001
861,0.0001
862,0.0001
863,0.0001
864,0.0001
865,0.0001
866,0.0001
867,0.0001
868,0.0001
869,0.0001
870,0.0001
871,0.0001
872,0.0001
873,0.0001
874,0.0001
875,0.0001
876,0.0001
877,0.0001
878,0.0001
879,0.0001
880,0.0001
881,0.0001
882,0.0001
883,0.0001
884,0.0001
885,0.0001
886,0.0001
887,0.0001
888,0.0001
889,0.0001
890,0.0001
891,0.0001
892,0.0001
893,0.0001
894,0.0001
895,0.0001
896,0.0001
897,0.0001
898,0.0001
899,0.0001
900,0.0001
901,0.0001
902,0.0001
903,0.0001
904,0.0001
905,0.0001
906,0.0001
907,0.0001
908,0.0001
909,0.0001
910,0.0001
911,0.0001
912,0.0001
913,0.0001
914,0.0001
915,0.0001
916,0.0001
917,0.0001
918,0.0001
919,0.0001
920,0.0001
921,0.0001
922,0.0001
923,0.0001
924,0.0001
925,0.0001
926,0.0001
927,0.0001
928,0.0001
929,0.0001
930,0.0001
931,0.0001
932,0.0001
933,0.0001
934,0.0001
935,0.0001
936,0.0001
937,0.0001
938,0.0001
939,0.0001
940,0.0001
941,0.0001
942,0.0001
943,0.0001
944,0.0001
945,0.0001
946,0.0001
947,0.0001
948,0.0001
949,0.0001
950,0.0001
951,0.0001
952,0.0001
953,0.0001
954,0.0001
955,0.0001
956,0.0001
957,0.0001
958,0.0001
959,0.0001
960,0.0001
961,0.0001
962,0.0001
963,0.0001
964,0.0001
965,0.0001
966,0.0001
967,0.0001
968,0.0001
969,0.0001
970,0.0001
971,0.0001
972,0.0001
973,0.0001
974,0.0001
975,0.0001
976,0.0001
977,0.0001
978,0.0001
979,0.0001
980,0.0001
981,0.0001
982,0.0001
983,0.0001
984,0.0001
985,0.0001
986,0.0001
987,0.0001
988,0.0001
989,0.0001
990,0.0001
991,0.0001
992,0.0001
993,0.0001
994,0.0001
995,0.0001
996,0.0001
997,0.0001
998,0.0001
999,0.0001
1000,0.0001
1001,0.0001
1002,0.0001
1003,0.0001
1004,0.0001
1005,0.0001
1006,0.0001
1007,0.0001
1008,0.0001
1009,0.0001
1010,0.0001
1011,0.0001
1012,0.0001
1013,0.0001
1014,0.0001
1015,0.0001
1016,0.0001
1017,0.0001
1018,0.0001
1019,0.0001
1020,0.0001
1021,0.0001
1022,0.0001
1023,0.0001
1024,0.0001
1025,0.0001
1026,0.0001
1027,0.0001
1028,0.0001
1029,0.0001
1030,0.0001
1031,0.0001
1032,0.0001
1033,0.0001
1034,0.0001
1035,0.0001
1036,0.0001
1037,0.0001
1038,0.0001
1039,0.0001
1040,0.0001
1041,0.0001
1042,0.0001
1043,0.0001
1044,0.0001
1045,0.0001
1046,0.0001
1047,0.0001
1048,0.0001
1049,0.0001
1050,0.0000
1051,0.0000
1052,0.0000
1053,0.0000
1054,0.0000
1055,0.0000
1056,0.0000
1057,0.0000
1058,0.0000
1059,0.0000
1060,0.0000
1061,0.0000
1062,0.0000
1063,0.0000
1064,0.0000
1065,0.0000
1066,0.0000
1067,0.0000
1068,0.0000
1069,0.0000
1070,0.0000
1071,0.0000
1072,0.0000
1073,0.0000
1074,0.0000
1075,0.0000
1076,0.0000
1077,0.0000
1078,0.0000
1079,0.0000
1080,0.0000
1081,0.0000
1082,0.0000
1083,0.0000
1084,0.0000
1085,0.0000
1086,0.0000
1087,0.0000
1088,0.0000
1089,0.0000
1090,0.0000
1091,0.0000
1092,0.0000
1093,0.0000
1094,0.0000
1095,0.0000
1096,0.0000
1097,0.0000
1098,0.0000
1099,0.0000
1100,0.0000
1101,0.0000
1102,0.0000
1103,0.0000
1104,0.0000
1105,0.0000
1106,0.0000
1107,0.0000
1108,0.0000
1109,0.0000
1110,0.0000
1111,0.0000
1112,0.0000
1113,0.0000
1114,0.0000
1115,0.0000
1116,0.0000
1117,0.0000
1118,0.0000
1119,0.0000
1120,0.0000
1121,0.0000
1122,0.0000
1123,0.0000
1124,0.0000
1125,0.0000
1126,0.0000
1127,0.0000
1128,0.0000
1129,0.0000
1130,0.0000
1131,0.0000
1132,0.0000
1133,0.0000
1134,0.0000
1135,0.0000
1136,0.0000
1137,0.0000
1138,0.0000
1139,0.0000
1140,0.0000
1141,0.0000
1142,0.0000
1143,0.0000
1144,0.0000
1145,0.0000
1146,0.0000
1147,0.0000
1148,0.0000
1149,0.0000
1150,0.0000
1151,0.0000
1152,0.0000
1153,0.0000
1154,0.0000
1155,0.0000
1156,0.0000
1157,0.0000
1158,0.0000
1159,0.0000
1160,0.0000
1161,0.0000
1162,0.0000
1163,0.0000
1164,0.0000
1165,0.0000
1166,0.0000
1167,0.0000
1168,0.0000
1169,0.0000
1170,0.0000
1171,0.0000
1172,0.0000
1173,0.0000
1174,0.0000
1175,0.0000
1176,0.0000
1177,0.0000
1178,0.0000
1179,0.0000
1180,0.0000
1181,0.0000
1182,0.0000
1183,0.0000
1184,0.0000
1185,0.0000
1186,0.0000
1187,0.0000
1188,0.0000
1189,0.0000
1190,0.0000
1191,0.0000
1192,0.0000
1193,0.0000
1194,0.0000
1195,0.0000
1196,0.0000
1197,0.0000
1198,0.0000
1199,0.0000
1200,0.0000
1201,0.0000
1202,0.0000
1203,0.0000
1204,0.0000
1205,0.0000
1206,0.0000
1207,0.0000
1208,0.0000
1209,0.0000
1210,0.0000
1211,0.0000
1212,0.0000
1213,0.0000
1214,0.0000
1215,0.0000
1216,0.0000
1217,0.0000
1218,0.0000
1219,0.0000
1220,0.0000
1221,0.0000
1222,0.0000
1223,0.0000
1224,0.0000
1225,0.0000
1226,0.0000
1227,0.0000
1228,0.0000
1229,0.0000
1230,0.0000
1231,0.0000
1232,0.0000
1233,0.0000
1234,0.0000
1235,0.0000
1236,0.0000
1237,0.0000
1238,0.0000
1239,0.0000
1240,0.0000
1241,0.0000
1242,0.0000
1243,0.0000
1244,0.0000
1245,0.0000
1246,0.0000
1247,0.0000
1248,0.0000
1249,0.0000
1250,0.0000
1251,0.0000
1252,0.0000
1253,0.0000
1254,0.0000
1255,0.0000
1256,0.0000
1257,0.0000
1258,0.0000
1259,0.0000
1260,0.0000
1261,0.0000
1262,0.0000
1263,0.0000
1264,0.0000
1265,0.0000
1266,0.0000
1267,0.0000
1268,0.0000
1269,0.0000
1270,0.0000
1271,0.0000
1272,0.0000
1273,0.0000
1274,0.0000
1275,0.0000
1276,0.0000
1277,0.0000
1278,0.0000
1279,0.0000
1280,0.0000
1281,0.0000
1282,0.0000
1283,0.0000
1284,0.0000
1285,0.0000
1286,0.0000
1287,0.0000
1288,0.0000
1289,0.0000
1290,0.0000
1291,0.0000
1292,0.0000
1293,0.0000
1294,0.0000
1295,0.0000
1296,0.0000
1297,0.0000
1298,0.0000
1299,0.0000
1300,0.0000
1301,0.0000
1302,0.0000
1303,0.0000
1304,0.0000
1305,0.0000
1306,0.0000
1307,0.0000
1308,0.0000
1309,0.0000
1310,0.0000
1311,0.0000
1312,0.0000
1313,0.0000
1314,0.0000
1315,0.0000
1316,0.0000
1317,0.0000
1318,0.0000
1319,0.0000
1320,0.0000
1321,0.0000
1322,0.0000
1323,0.0000
1324,0.0000
1325,0.0000
1326,0.0000
1327,0.0000
1328,0.0000
1329,0.0000
1330,0.0000
1331,0.0000
1332,0.0000
1333,0.0000
1334,0.0000
1335,0.0000
1336,0.0000
1337,0.0000
1338,0.0000
1339,0.0000
1340,0.0000
1341,0.0000
1342,0.0000
1343,0.0000
1344,0.0000
1345,0.0000
1346,0.0000
1347,0.0000
1348,0.0000
1349,0.0000
1350,0.0000
1351,0.0000
1352,0.0000
1353,0.0000
1354,0.0000
1355,0.0000
1356,0.0000
1357,0.0000
1358,0.0000
1359,0.0000
1360,0.0000
1361,0.0000
1362,0.0000
1363,0.0000
1364,0.0000
1365,0.0000
1366,0.0000
1367,0.0000
1368,0.0000
1369,0.0000
1370,0.0000
1371,0.0000
1372,0.0000
1373,0.0000
1374,0.0000
1375,0.0000
1376,0.0000
1377,0.0000
1378,0.0000
1379,0.0000
1380,0.0000
1381,0.0000
1382,0.0000
1383,0.0000
1384,0.0000
1385,0.0000
1386,0.0000
1387,0.0000
1388,0.0000
1389,0.0000
1390,0.0000
1391,0.0000
1392,0.0000
1393,0.0000
1394,0.0000
1395,0.0000
1396,0.0000
1397,0.0000
1398,0.0000
1399,0.0000
1400,0.0000
1401,0.0000
1402,0.0000
1403,0.0000
1404,0.0000
1405,0.0000
1406,0.0000
1407,0.0000
1408,0.0000
1409,0.0000
1410,0.0000
1411,0.0000
1412,0.0000
1413,0.0000
1414,0.0000
1415,0.0000
1416,0.0000
1417,0.0000
1418,0.0000
1419,0.0000
1420,0.0000
1421,0.0000
1422,0.0000
1423,0.0000
1424,0.0000
1425,0.0000
1426,0.0000
1427,0.0000
1428,0.0000
1429,0.0000
1430,0.0000
1431,0.0000
1432,0.0000
1433,0.0000
1434,0.0000
1435,0.0000
1436,0.0000
1437,0.0000
1438,0.0000
1439,0.0000
1440,0.0000
1441,0.0000
1442,0.0000
1443,0.0000
1444,0.0000
1445,0.0000
1446,0.0000
1447,0.0000
1448,0.0000
1449,0.0000
1450,0.0000
1451,0.0000
1452,0.0000
1453,0.0000
1454,0.0000
1455,0.0000
1456,0.0000
1457,0.0000
1458,0.0000
1459,0.0000
1460,0.0000
1461,0.0000
1462,0.0000
1463,0.0000
1464,0.0000
1465,0.0000
1466,0.0000
1467,0.0000
1468,0.0000
1469,0.0000
1470,0.0000
1471,0.0000
1472,0.0000
1473,0.0000
1474,0.0000
1475,0.0000
1476,0.0000
1477,0.0000
1478,0.0000
1479,0.0000
1480,0.0000
1481,0.0000
1482,0.0000
1483,0.0000
1484,0.0000
1485,0.0000
1486,0.0000
1487,0.0000
1488,0.0000
1489,0.0000
1490,0.0000
1491,0.0000
1492,0.0000
1493,0.0000
1494,0.0000
1495,0.0000
1496,0.0000
1497,0.0000
1498,0.0000
1499,0.0000
1500,0.0000
1501,0.0000
1502,0.0000
1503,0.0000
1504,0.0000
1505,0.0000
1506,0.0000
1507,0.0000
1508,0.0000
1509,0.0000
1510,0.0000
1511,0.0000
1512,0.0000
1513,0.0000
1514,0.0000
1515,0.0000
1516,0.0000
1517,0.0000
1518,0.0000
1519,0.0000
1520,0.0000
1521,0.0000
1522,0.0000
1523,0.0000
1524,0.0000
1525,0.0000
1526,0.0000
1527,0.0000
1528,0.0000
1529,0.0000
1530,0.0000
1531,0.0000
1532,0.0000
1533,0.0000
1534,0.0000
1535,0.0000
1536,-0.0000
1537,-0.0000
1538,-0.0000
1539,-0.0000
1540,-0.0000
1541,-0.0000
1542,-0.0000
1543,-0.0000
1544,-0.0000
1545,-0.0000
1546,-0.0000
1547,-0.0000
1548,-0.0000
1549,-0.0000
1550,-0.0000
1551,-0.0000
1552,-0.0000
1553,-0.0000
1554,-0.0000
1555,-0.0000
1556,-0.0000
1557,-0.0000
1558,-0.0000
1559,-0.0000
1560,-0.0000
1561,-0.0000
1562,-0.0000
1563,-0.0000
1564,-0.0000
1565,-0.0000
1566,-0.0000
1567,-0.0000
1568,-0.0000
1569,-0.0000
1570,-0.0000
1571,-0.0000
1572,-0.0000
1573,-0.0000
1574,-0.0000
1575,-0.0000
1576,-0.0000
1577,-0.0000
1578,-0.0000
1579,-0.0000
1580,-0.0000
1581,-0.0000
1582,-0.0000
1583,-0.0000
1584,-0.0000
1585,-0.0000
1586,-0.0000
1587,-0.0000
1588,-0.0000
1589,-0.0000
1590,-0.0000
1591,-0.0000
1592,-0.0000
1593,-0.0000
1594,-0.0000
1595,-0.0000
1596,-0.0000
1597,-0.0000
1598,-0.0000
1599,-0.0000
1600,-0.0000
1601,-0.0000
1602,-0.0000
1603,-0.0000
1604,-0.0000
1605,-0.0000
1606,-0.0000
1607,-0.0000
1608,-0.0000
1609,-0.0000
1610,-0.0000
1611,-0.0000
1612,-0.0000
1613,-0.0000
1614,-0.0000
1615,-0.0000
1616,-0.0000
1617,-0.0000
1618,-0.0000
1619,-0.0000
1620,-0.0000
1621,-0.0000
1622,-0.0000
1623,-0.0000
1624,-0.0000
1625,-0.0000
1626,-0.0000
1627,-0.0000
1628,-0.0000
1629,-0.0000
1630,-0.0000
1631,-0.0000
1632,-0.0000
1633,-0.0000
1634,-0.0000
1635,-0.0000
1636,-0.0000
1637,-0.0000
1638,-0.0000
1639,-0.0000
1640,-0.0000
1641,-0.0000
1642,-0.0000
1643,-0.0000
1644,-0.0000
1645,-0.0000
1646,-0.0000
1647,-0.0000
1648,-0.0000
1649,-0.0000
1650,-0.0000
1651,-0.0000
1652,-0.0000
1653,-0.0000
1654,-0.0000
1655,-0.0000
1656,-0.0000
1657,-0.0000
1658,-0.0000
1659,-0.0000
1660,-0.0000
1661,-0.0000
1662,-0.0000
1663,-0.0000
1664,-0.0000
1665,-0.0000
1666,-0.0000
1667,-0.0000
1668,-0.0000
1669,-0.0000
1670,-0.0000
1671,-0.0000
1672,-0.0000
1673,-0.0000
1674,-0.0000
1675,-0.0000
1676,-0.0000
1677,-0.0000
1678,-0.0000
1679,-0.0000
1680,-0.0000
1681,-0.0000
1682,-0.0000
1683,-0.0000
1684,-0.0000
1685,-0.0000
1686,-0.0000
1687,-0.0000
1688,-0.0000
1689,-0.0000
1690,-0.0000
1691,-0.0000
1692,-0.0000
1693,-0.0000
1694,-0.0000
1695,-0.0000
1696,-0.0000
1697,-0.0000
1698,-0.0000
1699,-0.0000
1700,-0.0000
1701,-0.0000
1702,-0.0000
1703,-0.0000
1704,-0.0000
1705,-0.0000
1706,-0.0000
1707,-0.0000
1708,-0.0000
1709,-0.0000
1710,-0.0000
1711,-0.0000
1712,-0.0000
1713,-0.0000
1714,-0.0000
1715,-0.0000
1716,-0.0000
1717,-0.0000
1718,-0.0000
1719,-0.0000
1720,-0.0000
1721,-0.0000
1722,-0.0000
1723,-0.0000
1724,-0.0000
1725,-0.0000
1726,-0.0000
1727,-0.0000
1728,-0.0000
1729,-0.0000
1730,-0.0000
1731,-0.0000
1732,-0.0000
1733,-0.0000
1734,-0.0000
1735,-0.0000
1736,-0.0000
1737,-0.0000
1738,-0.0000
1739,-0.0000
1740,-0.0000
1741,-0.0000
1742,-0.0000
1743,-0.0000
1744,-0.0000
1745,-0.0000
1746,-0.0000
1747,-0.0000
1748,-0.0000
1749,-0.0000
1750,-0.0000
1751,-0.0000
1752,-0.0000
1753,-0.0000
1754,-0.0000
1755,-0.0000
1756,-0.0000
1757,-0.0000
1758,-0.0000
1759,-0.0000
1760,-0.0000
1761,-0.0000
1762,-0.0000
1763,-0.0000
1764,-0.0000
1765,-0.0000
1766,-0.0000
1767,-0.0000
1768,-0.0000
1769,-0.0000
1770,-0.0000
1771,-0.0000
1772,-0.0000
1773,-0.0000
1774,-0.0000
1775,-0.0000
1776,-0.0000
1777,-0.0000
1778,-0.0000
1779,-0.0000
1780,-0.0000
1781,-0.0000
1782,-0.0000
1783,-0.0000
1784,-0.0000
1785,-0.0000
1786,-0.0000
1787,-0.0000
1788,-0.0000
1789,-0.0000
1790,-0.0000
1791,-0.0000
